frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score
187,8,483.6707420681444 660.2365113211956 771.1086467087991 911.0178142171634,573.7340777853261 798.2001422384511 679.6297660495924 869.0844885784646,0
188,8,482.07497444713584 662.761800805196 770.4549330065122 914.3873479100496,572.5089509383491 801.2919099227241 678.0894430409307 871.6386904509171,0
189,8,480.47920682612727 665.2870902891963 769.8012193042252 917.7568816029357,571.2838240913723 804.3836776069973 676.549120032269 874.1928923233696,0
190,8,478.88343920511875 667.8123797731967 769.1475056019383 921.1264152958217,570.0586972443954 807.4754452912704 675.0087970236074 876.747094195822,0
191,8,477.28767158411017 670.3376692571969 768.4937918996513 924.4959489887078,568.8335703974185 810.5672129755435 673.4684740149456 879.3012960682745,0
192,8,475.6919039631016 672.8629587411972 767.8400781973644 927.8654826815939,567.6084435504416 813.6589806598166 671.928151006284 881.8554979407269,0
193,8,474.096136342093 675.3882482251976 767.1863644950776 931.2350163744801,566.3833167034646 816.7507483440896 670.3878279976223 884.4096998131794,0
194,8,472.50036872108444 677.9135377091978 766.5326507927906 934.6045500673662,565.1581898564878 819.8425160283628 668.8475049889606 886.9639016856318,0
195,8,470.90460110007587 680.4388271931982 765.8789370905037 937.9740837602523,563.9330630095109 822.9342837126359 667.3071819802989 889.5181035580842,0
196,8,469.30883347906735 682.9641166771985 765.2252233882167 941.3436174531383,562.707936162534 826.026051396909 665.7668589716372 892.0723054305367,0
197,8,467.71306585805877 685.4894061611988 764.5715096859298 944.7131511460245,561.4828093155571 829.117819081182 664.2265359629755 894.6265073029891,0
198,8,466.1172982370502 688.0146956451991 763.9177959836428 948.0826848389106,560.2576824685801 832.2095867654551 662.6862129543139 897.1807091754416,0
199,8,464.5215306160416 690.5399851291994 763.2640822813559 951.4522185317967,559.0325556216033 835.3013544497283 661.1458899456521 899.734911047894,0
200,8,462.92576299503304 693.0652746131997 762.6103685790689 954.8217522246828,557.8074287746264 838.3931221340014 659.6055669369905 902.2891129203465,0
201,8,461.3299953740245 695.5905640972001 761.956654876782 958.1912859175688,556.5823019276495 841.4848898182745 658.0652439283288 904.8433147927989,0
202,8,459.73422775301594 698.1158535812003 761.302941174495 961.560819610455,555.3571750806725 844.5766575025475 656.5249209196671 907.3975166652514,0
203,8,458.13846013200737 700.6411430652007 760.649227472208 964.9303533033411,554.1320482336956 847.6684251868206 654.9845979110055 909.9517185377038,0
204,8,456.5426925109988 703.166432549201 759.9955137699211 968.2998869962272,552.9069213867188 850.7601928710938 653.4442749023438 912.5059204101562,0.522463321685791
241,21,1131.4950330497823 700.9427825935229 1434.1703036960603 952.8724782420156,1157.35302734375 708.5634155273438 1395.232666015625 797.2503662109375,0.516832709312439
242,21,1132.2105896443345 704.3620944814985 1436.2363011417017 955.5831015962189,1158.2192815144856 712.2462463378906 1396.8107808430989 801.2283134460449,0
243,21,1132.9261462388868 707.7814063694742 1438.3022985873429 958.293724950422,1159.0855356852214 715.9290771484375 1398.388895670573 805.2062606811523,0
244,21,1133.641702833439 711.2007182574498 1440.3682960329843 961.0043483046252,1159.951789855957 719.6119079589844 1399.9670104980469 809.1842079162598,0
245,21,1134.3572594279913 714.6200301454255 1442.4342934786255 963.7149716588283,1160.8180440266926 723.2947387695312 1401.5451253255208 813.1621551513672,0
246,21,1135.0728160225435 718.0393420334011 1444.500290924267 966.4255950130315,1161.6842981974285 726.9775695800781 1403.1232401529949 817.1401023864746,0
247,21,1135.7883726170958 721.4586539213768 1446.5662883699083 969.1362183672347,1162.550552368164 730.660400390625 1404.7013549804688 821.118049621582,0
248,21,1136.503929211648 724.8779658093524 1448.6322858155495 971.8468417214378,1163.4168065388997 734.3432312011719 1406.2794698079426 825.0959968566895,0
249,21,1137.2194858062003 728.2972776973281 1450.698283261191 974.5574650756411,1164.2830607096355 738.0260620117188 1407.8575846354167 829.0739440917969,0
250,21,1137.9350424007528 731.7165895853037 1452.764280706832 977.2680884298443,1165.149314880371 741.7088928222656 1409.4356994628906 833.0518913269043,0
251,21,1138.650598995305 735.1359014732793 1454.8302781524735 979.9787117840474,1166.0155690511067 745.3917236328125 1411.0138142903645 837.0298385620117,0
252,21,1139.3661555898573 738.555213361255 1456.896275598115 982.6893351382506,1166.8818232218425 749.0745544433594 1412.5919291178386 841.0077857971191,0
253,21,1140.0817121844095 741.9745252492306 1458.962273043756 985.3999584924538,1167.7480773925781 752.7573852539062 1414.1700439453125 844.9857330322266,0
254,21,1140.7972687789618 745.3938371372063 1461.0282704893975 988.1105818466569,1168.6143315633137 756.4402160644531 1415.7481587727864 848.963680267334,0
255,21,1141.512825373514 748.8131490251819 1463.0942679350387 990.8212052008602,1169.4805857340496 760.123046875 1417.3262736002605 852.9416275024414,0
256,21,1142.2283819680663 752.2324609131576 1465.1602653806801 993.5318285550633,1170.3468399047852 763.8058776855469 1418.9043884277344 856.9195747375488,0
257,21,1142.9439385626185 755.6517728011332 1467.2262628263215 996.2424519092665,1171.2130940755208 767.4887084960938 1420.4825032552083 860.8975219726562,0
258,21,1143.6594951571708 759.0710846891088 1469.2922602719627 998.9530752634697,1172.0793482462566 771.1715393066406 1422.0606180826824 864.8754692077637,0
259,21,1144.375051751723 762.4903965770845 1471.3582577176041 1001.6636986176728,1172.9456024169922 774.8543701171875 1423.6387329101562 868.8534164428711,0
260,21,1145.0906083462753 765.9097084650601 1473.4242551632453 1004.374321971876,1173.8118565877278 778.5372009277344 1425.2168477376301 872.8313636779785,0
261,21,1145.8061649408276 769.3290203530358 1475.4902526088867 1007.0849453260792,1174.6781107584636 782.2200317382812 1426.7949625651042 876.8093109130859,0
262,21,1146.5217215353798 772.7483322410114 1477.5562500545282 1009.7955686802824,1175.5443649291992 785.9028625488281 1428.3730773925781 880.7872581481934,0
263,21,1147.237278129932 776.1676441289871 1479.6222475001694 1012.5061920344856,1176.4106190999348 789.585693359375 1429.951192220052 884.7652053833008,0
264,21,1147.9528347244843 779.5869560169627 1481.6882449458108 1015.2168153886887,1177.2768732706706 793.2685241699219 1431.5293070475261 888.7431526184082,0
265,21,1148.6683913190368 783.0062679049383 1483.754242391452 1017.9274387428919,1178.1431274414062 796.9513549804688 1433.107421875 892.7210998535156,0
266,21,1149.383947913589 786.425579792914 1485.8202398370934 1020.6380620970951,1179.0093816121419 800.6341857910156 1434.6855367024739 896.699047088623,0
267,21,1150.0995045081413 789.8448916808896 1487.8862372827348 1023.3486854512983,1179.8756357828777 804.3170166015625 1436.263651529948 900.6769943237305,0
268,21,1150.8150611026936 793.2642035688654 1489.952234728376 1026.0593088055014,1180.7418899536133 807.9998474121094 1437.8417663574219 904.6549415588379,0
269,21,1151.5306176972458 796.683515456841 1492.0182321740174 1028.7699321597047,1181.6081441243489 811.6826782226562 1439.4198811848958 908.6328887939453,0
270,21,1152.246174291798 800.1028273448167 1494.0842296196588 1031.4805555139078,1182.4743982950847 815.3655090332031 1440.9979960123699 912.6108360290527,0
