frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
169,3.0,[742.6272798884083 683.0747998001398 1227.0228974978143 1060.836308326317],[913.2218627929688 882.3239135742188 1069.0859375 936.2140502929688],0.5137850642204285,D 1805 FP,0.986018717288971
170,3.0,[743.567419473871 682.9770440655815 1226.0632954011855 1060.1314683418175],[913.0206298828125 870.3330688476562 1068.153076171875 934.9561157226562],0.5579628944396973,D 1805 FP,0.9985280632972717
171,3.0,[744.0250156794682 683.9551787989718 1224.7092480498015 1062.0426602416128],[917.8592529296875 870.526611328125 1067.044921875 935.4034423828125],0.7064203023910522,D 1805 FP,0.9984320402145386
172,3.0,[744.5804753240106 685.6392060811763 1223.1061541252277 1065.1190487461954],[910.7276000976562 869.9462280273438 1066.39501953125 936.7498779296875],0.7375369668006897,D 1805 FP,0.9989795684814453
173,3.0,[746.0613200820501 686.2478051277185 1222.4222628881698 1066.1884143305545],[915.2783203125 874.3613891601562 1068.4669189453125 926.6596069335938],0.6613104343414307,D 1805 FP,0.9797934293746948
174,3.0,[746.8334501936602 686.5741302520834 1221.7828412239255 1067.028362835108],[906.6901245117188 869.76123046875 1074.7603759765625 935.6693115234375],0.5445630550384521,D 1805 FP,0.9910221695899963
175,3.0,[748.1787420037736 686.4385439413419 1220.761916392522 1067.031997789924],[913.1326904296875 866.59716796875 1072.0701904296875 935.0694580078125],0.6364657878875732,D 1805 FP,0.9964052438735962
176,3.0,[750.1158268684633 685.3258827588822 1220.1590627232576 1063.624002689239],[920.2657470703125 863.8566284179688 1072.1407470703125 929.1901245117188],0.506669282913208,D 1805 FP,0.9977903962135315
178,3.0,[753.5130714634629 685.6841944131131 1217.8528620203713 1063.7862447740345],[912.9166259765625 864.3462524414062 1077.9078369140625 934.9165649414062],0.5315020680427551,D 1805 FP,0.9978319406509399
181,148.0,[1309.092120219655 621.7790710848868 1917.9563124160995 1078.234489583782],[1802.171630859375 848.5556640625 1915.20556640625 917.0966186523438],0.7505565881729126,1015,0.997082531452179
182,148.0,[1303.581471986016 623.0153156649775 1917.655894947517 1075.8081321825011],[1785.9818115234375 844.139892578125 1913.9857177734375 906.5162353515625],0.7942838668823242,D 1015 AA,0.9295365810394287
183,148.0,[1298.0963157574954 623.2933734941244 1917.468285296439 1074.1181136320224],[1766.315673828125 836.3349609375 1912.703369140625 902.4210205078125],0.8168313503265381,D 1015 AAG,0.9573454856872559
184,148.0,[1293.8945472549417 622.363172699082 1917.8745500470145 1070.9384159507779],[1745.824951171875 833.7147216796875 1904.275634765625 891.5509643554688],0.81402987241745,D 1015 AAG,0.9333038330078125
185,148.0,[1290.5425257058596 621.0005946549911 1918.4025835703496 1065.2654773670884],[1731.929443359375 820.0357055664062 1886.930419921875 887.096435546875],0.85915207862854,D 1015 AAG,0.9695765972137451
186,148.0,[1286.0253211393542 620.06245970722 1918.5163701575839 1058.6743988762478],[1717.642822265625 823.4295654296875 1868.794921875 877.6344604492188],0.8029801845550537,D 1015 AAG,0.9795773029327393
187,148.0,[1281.8524637367395 622.1520353867252 1918.7931156609566 1057.4971877536334],[1704.93017578125 822.958740234375 1847.555419921875 877.2821044921875],0.8081713318824768,D 1015 AAG,0.9684109687805176
188,148.0,[1276.4626838109189 621.4809204002885 1917.0643285373758 1048.9760099919813],[1686.4271240234375 817.6475830078125 1834.0438232421875 882.030029296875],0.8570424318313599,D 1015 AAG,0.9415745735168457
189,148.0,[1268.8854336475943 623.5726400020828 1908.2959683063873 1044.5679088707848],[1672.440673828125 815.6119995117188 1814.63671875 878.079345703125],0.786824643611908,D 1015 AAG,0.9572126865386963
190,148.0,[1265.4110664878524 623.699000378184 1905.1676855080361 1038.8286282451775],[1659.407958984375 815.02685546875 1800.6826171875 874.2281494140625],0.679716169834137,D 1015 AAG,0.9829310774803162
